bench,mode,workers,seconds,speedup,extra,note
compute,serial,1,0.377241,1,0,"64 tasks x 1M sin/cos"
compute,pool,1,0.375205,1.00543,0,"checksum ok"
compute,pool,2,0.192219,1.96256,0,"checksum ok"
compute,pool,4,0.10418,3.62106,0,"checksum ok"
compute,pool,8,0.0787243,4.79192,0,"checksum ok"
compute,pool,10,0.0701891,5.37463,0,"checksum ok"
compute,std::async,64,0.0676906,5.57301,0,"64 OS threads, checksum ok"
tiny,single-queue,10,0.660261,0,1.51455e+06,"1.51 M tasks/s, sum=500000"
tiny,work-stealing,10,0.504932,0,1.98046e+06,"1.98 M tasks/s, sum=500000"
imbalanced,serial,1,0.261427,1,0,"4,000 tasks, 2% are 100x"
imbalanced,single-queue,10,0.0445236,5.87164,0,"checksum ok, 0 steals"
imbalanced,work-stealing,10,0.0450582,5.80199,0,"checksum ok, 873 steals"
spawn,single-queue,10,0.62074,0,3.37847e+06,"checksum ok, 3.38 M tasks/s, 0 steals"
spawn,work-stealing,10,0.494683,0,4.23939e+06,"checksum ok, 4.24 M tasks/s, 414277 steals"
pfor-saxpy,serial,1,0.00646763,1,0,"50M-element SAXPY, one pass"
pfor-saxpy,parallel_for,2,0.00614063,1.05325,0,"checksum ok (memory-bound)"
pfor-saxpy,parallel_for,4,0.00617558,1.04729,0,"checksum ok (memory-bound)"
pfor-saxpy,parallel_for,8,0.00579142,1.11676,0,"checksum ok (memory-bound)"
pfor-saxpy,parallel_for,10,0.00585688,1.10428,0,"checksum ok (memory-bound)"
pfor-compute,serial,1,0.0246691,1,0,"8M-element sin*cos+sqrt"
pfor-compute,parallel_for,2,0.012739,1.93649,0,"checksum ok (compute-bound)"
pfor-compute,parallel_for,4,0.00955308,2.58232,0,"checksum ok (compute-bound)"
pfor-compute,parallel_for,8,0.00561075,4.39675,0,"checksum ok (compute-bound)"
pfor-compute,parallel_for,10,0.00495808,4.97553,0,"checksum ok (compute-bound)"
